serial_number,hdd,manufacturer,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_predicted_score
AAG63Z8H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-09-28,2025-09-13,15.0,0.9999996202674969
AAG6417H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2024-06-06,2024-05-30,7.0,0.9998919035649305
AAG6NPRH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2026-03-12,2026-03-12,0.0,0.9999994603920747
AAG76HYH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2021-09-29,2021-09-10,19.0,1.0
AAG7MULH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2026-03-13,2026-03-08,5.0,1.0
AAHLBWGH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-08-30,2025-08-22,8.0,0.9999996673555985
AAHMR03H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LGBM,0.99,2025-11-26,2025-11-13,13.0,0.9999993971403778
2AGGHGJY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-11-19,2024-11-19,0.0,0.5702230930328369
2AGM8EMY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-10-29,2024-10-29,0.0,0.6446989178657532
2AGME9PY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-08-06,2024-08-06,0.0,0.5974369645118713
2AGMHWAY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2023-09-22,2023-09-09,13.0,0.7170466184616089
2AGMLSZY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2020-07-30,2020-07-23,7.0,0.5774312615394592
2AGMND4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2025-10-27,2025-10-22,5.0,0.5847644805908203
2AGMTK0Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2025-08-30,2025-08-25,5.0,0.5902120471000671
5QJBW5VB,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-05-25,2024-05-08,17.0,0.5267643928527832
8HHARE1H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2023-03-24,2023-03-05,19.0,0.7036895751953125
8HHNHSUH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-12-06,2024-12-06,0.0,0.5322235822677612
8HK6VSKH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-03-10,2024-03-06,4.0,0.4712425768375397
8HKMR21H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2020-09-02,2020-08-25,8.0,0.5759500861167908
AAG1LW3H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-09-03,2024-08-17,17.0,0.9090418219566345
AAG61LHH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-05-17,2024-05-09,8.0,0.6097850203514099
AAG63Z8H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2025-09-28,2025-09-13,15.0,0.5109632015228271
AAG6417H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-06-06,2024-05-30,7.0,0.5724501609802246
AAG7LTHH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2024-07-29,2024-07-29,0.0,0.46665841341018677
AAHLV40H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),XGB,0.46,2019-08-05,2019-07-27,9.0,0.6717469692230225
2AGMKV4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2026-01-28,2026-01-17,11.0,0.11584915965795517
2AGMLSZY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2020-07-30,2020-07-22,8.0,0.13575519621372223
2AGMND4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-10-27,2025-10-10,17.0,0.1160031110048294
2AGMNE1Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-11-26,2025-11-26,0.0,0.5043136477470398
2AGMNJKY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-09-29,2025-09-15,14.0,0.1114625483751297
2AGMPP4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-09-23,2025-09-11,12.0,0.15045736730098724
2AGMTK0Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-08-30,2025-08-30,0.0,0.5183719992637634
5QJBW5VB,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2024-05-25,2024-05-09,16.0,0.13739386200904846
8CGXNNUE,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2022-05-10,2022-04-28,12.0,0.11290296167135239
8CH5214E,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2024-02-15,2024-02-14,1.0,0.11968739330768585
8HHARE1H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2023-03-24,2023-03-11,13.0,0.11926200240850449
8HK6VSKH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2024-03-10,2024-03-05,5.0,0.11121607571840286
AAG63PKH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2022-05-22,2022-05-12,10.0,0.12343376129865646
AAG63WHH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-11-30,2025-11-30,0.0,0.11893967539072037
AAG63Z8H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-09-28,2025-09-16,12.0,0.12694096565246582
AAG6417H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2024-06-06,2024-06-04,2.0,0.11531414836645126
AAG6NPRH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2026-03-12,2026-03-12,0.0,0.42260321974754333
AAG76HYH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2021-09-29,2021-08-30,30.0,0.19463646411895752
AAG7MULH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2026-03-13,2026-02-13,28.0,0.3342767357826233
AAHLBWGH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-08-30,2025-08-30,0.0,0.3367379307746887
AAHMR03H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),LSTM,0.11,2025-11-26,2025-11-18,8.0,0.11159428209066391
2AGMHXDY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-06-02,2025-05-29,4.0,0.18275313079357147
2AGMLSZY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2020-07-30,2020-07-19,11.0,0.21197369694709778
2AGMND4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-10-27,2025-10-12,15.0,0.23808957636356354
2AGMNJKY,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-09-29,2025-09-14,15.0,0.1636914312839508
2AGMPP4Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-09-23,2025-09-11,12.0,0.21768617630004883
2AGMTK0Y,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-08-30,2025-08-30,0.0,0.40515491366386414
5QJBW5VB,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2024-05-25,2024-05-08,17.0,0.2667936384677887
8CGXNNUE,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2022-05-10,2022-05-01,9.0,0.1618124395608902
8CH190UE,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2022-03-26,2022-03-16,10.0,0.17795643210411072
8CH5214E,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2024-02-15,2024-01-17,29.0,0.1999327689409256
8HHARE1H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2023-03-24,2023-03-11,13.0,0.16467660665512085
8HJ9K7HH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-01-28,2025-01-26,2.0,0.1633688360452652
8HK6VSKH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2024-03-10,2024-03-06,4.0,0.16187071800231934
AAG63PKH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2022-05-22,2022-05-22,0.0,0.16017933189868927
AAG63Z8H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-09-28,2025-09-14,14.0,0.2812838852405548
AAG6417H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2024-06-06,2024-05-30,7.0,0.19988000392913818
AAG67V3H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-06-20,2025-06-20,0.0,0.18631112575531006
AAG76HYH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2021-09-29,2021-08-30,30.0,0.2807566523551941
AAG7MULH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2026-03-13,2026-02-13,28.0,0.4905445873737335
AAHLBWGH,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-08-30,2025-08-14,16.0,0.2103600800037384
AAHMR03H,HGST_20HUH721212ALN604,HGST (20HUH721212ALN604),GRU,0.16,2025-11-26,2025-11-13,13.0,0.16950097680091858
1070A03AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2023-06-22,2023-06-18,4.0,0.43096538573526894
11F0A006F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2024-11-27,2024-11-27,0.0,0.16412078379708317
40N0A0MAF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2020-08-15,2020-08-14,1.0,0.9999990134690118
40X0A0ARF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-04-05,2025-04-01,4.0,0.9999999999999998
5120A09XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-07-26,2025-07-11,15.0,0.16482822463749922
69J0A057F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2024-10-12,2024-10-02,10.0,0.16482822463749922
70M0A03RF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-05-10,2025-04-14,26.0,0.16412078379708317
88P0A0EJF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-05-02,2025-04-03,29.0,0.9999981804352683
88Q0A0MWF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2024-05-11,2024-05-03,8.0,0.16412078379708317
X820A002F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-05-22,2025-04-28,24.0,0.16412078379708317
X880A0BXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2023-06-25,2023-06-14,11.0,0.16412078379708317
X880A0E4F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-01-17,2025-01-07,10.0,0.5553379397357955
X8E0A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2022-04-25,2022-04-10,15.0,0.16412078379708317
X8G0A05GF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2022-06-21,2022-06-09,12.0,0.16412078379708317
X8H0A02SF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2023-04-08,2023-03-09,30.0,0.16412078379708317
Y0K0A001F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-06-19,2025-05-20,30.0,0.16482822463749922
Y810A004F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2024-04-24,2024-04-22,2.0,0.16412078379708317
Z840A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2025-01-17,2024-12-25,23.0,0.16412078379708317
Z840A01PF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LGBM,0.13,2026-01-13,2026-01-03,10.0,0.43096538573526894
1070A03AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2023-06-22,2023-06-18,4.0,0.8743941783905029
10A0A0KPF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2021-08-12,2021-08-12,0.0,0.17945991456508636
10C0A0ADF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2020-12-20,2020-12-07,13.0,0.16783837974071503
29A0A008F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-05-10,2024-05-10,0.0,0.4192263185977936
40N0A0MAF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2020-08-15,2020-08-14,1.0,0.999887228012085
40P0A01MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2023-01-12,2023-01-07,5.0,0.15077106654644012
40W0A04AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-07-26,2025-07-21,5.0,0.3156960904598236
40X0A0ARF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-04-05,2025-04-01,4.0,0.9929023385047913
5090A0CJF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2022-11-29,2022-11-29,0.0,0.2474973201751709
5120A09XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-07-26,2025-07-13,13.0,0.3487802743911743
5120A0UFF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-08-03,2024-07-14,20.0,0.16627825796604156
60U0A001F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-03-28,2024-03-27,1.0,0.2574861943721771
6190A015F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2026-03-11,2026-03-03,8.0,0.13119544088840485
61A0A0C4F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-12-09,2024-12-01,8.0,0.21009968221187592
69J0A057F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-10-12,2024-10-02,10.0,0.25784599781036377
70B0A019F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-07-28,2025-07-16,12.0,0.262944757938385
70M0A03RF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-05-10,2025-04-14,26.0,0.19032521545886993
88Q0A0AXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-11-21,2025-10-23,29.0,0.3949667811393738
88S0A004F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2023-05-15,2023-05-12,3.0,0.17029310762882233
88T0A02FF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-03-21,2025-03-21,0.0,0.32112187147140503
98F0B00EV97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-08-15,2024-08-13,2.0,0.30070677399635315
X820A002F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-05-22,2025-04-28,24.0,0.9998180270195007
X870A0LYF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-02-06,2024-01-31,6.0,0.19550152122974396
X880A0BXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2023-06-25,2023-06-14,11.0,0.3463830053806305
X880A0E4F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-01-17,2025-01-07,10.0,0.3167015314102173
X880A0EUF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2022-08-20,2022-08-18,2.0,0.3278597295284271
X880A0FKF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-06-04,2024-05-31,4.0,0.20269536972045898
X8D0A063F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-07-20,2024-06-26,24.0,0.29718562960624695
X8E0A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2022-04-25,2022-04-08,17.0,0.14293071627616882
X8E0A00VF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2022-05-06,2022-04-29,7.0,0.4439823627471924
X8F0A074F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2022-04-24,2022-04-21,3.0,0.15556657314300537
X8G0A05GF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2022-06-21,2022-06-09,12.0,0.5682933330535889
X8H0A02SF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2023-04-08,2023-03-09,30.0,0.34927570819854736
Y810A004F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2024-04-24,2024-04-22,2.0,0.2321675717830658
Y8S0A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2023-12-07,2023-12-04,3.0,0.3709881603717804
Z840A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-01-17,2025-01-01,16.0,0.13704495131969452
Z840A01PF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2026-01-13,2026-01-03,10.0,0.9274061322212219
Z870A01ZF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),XGB,0.13,2025-05-04,2025-05-04,0.0,0.8676404356956482
1070A03AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2023-06-22,2023-06-19,3.0,0.23191116750240326
10A0A0KPF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2021-08-12,2021-08-09,3.0,0.20510220527648926
10B0A0R0F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-11-27,2025-11-06,21.0,0.28555846214294434
10C0A0AVF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2023-04-08,2023-03-27,12.0,0.1883549839258194
10L0A03VF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-11-12,2024-11-12,0.0,0.3324529528617859
10N0A03XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-04-25,2024-04-19,6.0,0.1848198026418686
20H0A06PF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-07-26,2025-07-08,18.0,0.34222617745399475
40N0A0MAF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2020-08-15,2020-08-14,1.0,0.5604700446128845
5090A0CJF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2022-11-29,2022-11-18,11.0,0.20216012001037598
5120A09XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-07-26,2025-07-15,11.0,0.24524983763694763
5120A0UFF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-08-03,2024-07-18,16.0,0.2596782147884369
60U0A001F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-03-28,2024-03-16,12.0,0.27087870240211487
69Q0A004F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-03-06,2024-03-02,4.0,0.27353203296661377
7020A05WF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-08-25,2024-07-26,30.0,0.24036556482315063
7030A0CTF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2023-12-08,2023-11-27,11.0,0.20331017673015594
70B0A019F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-07-28,2025-07-23,5.0,0.18140621483325958
70M0A03RF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-05-10,2025-04-16,24.0,0.18670882284641266
70N0A00EF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2026-01-22,2025-12-27,26.0,0.18554247915744781
88Q0A0MWF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-05-11,2024-05-06,5.0,0.2962811291217804
X820A002F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-05-22,2025-05-01,21.0,0.2456311136484146
X870A0LYF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-02-06,2024-01-30,7.0,0.2376505434513092
X880A02YF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2022-05-25,2022-04-27,28.0,0.20392927527427673
X880A0BXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2023-06-25,2023-06-17,8.0,0.2219306379556656
X880A0E4F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-01-17,2025-01-08,9.0,0.22688892483711243
X8D0A02XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-02-28,2025-02-04,24.0,0.29184091091156006
X8D0A063F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2024-07-20,2024-06-30,20.0,0.19597649574279785
X8E0A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2022-04-25,2022-04-12,13.0,0.2493003010749817
X8E0A00VF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2022-05-06,2022-05-03,3.0,0.2486913502216339
X8G0A05GF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2022-06-21,2022-06-13,8.0,0.19153766334056854
Z840A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),LSTM,0.18,2025-01-17,2024-12-29,19.0,0.22040094435214996
1070A03AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-06-22,2023-06-19,3.0,0.3260973393917084
10B0A0R0F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-11-27,2025-11-05,22.0,0.14368785917758942
10C0A0AVF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-04-08,2023-03-24,15.0,0.14513719081878662
10L0A03VF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-11-12,2024-11-12,0.0,0.13106191158294678
10N0A03XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-04-25,2024-04-16,9.0,0.13518455624580383
20H0A06PF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-26,2025-07-07,19.0,0.1593932956457138
40N0A0MAF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2020-08-15,2020-08-14,1.0,0.42476752400398254
40W0A04AF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-26,2025-07-23,3.0,0.13209493458271027
40X0A0ARF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-04-05,2025-04-04,1.0,0.3103894293308258
5120A09XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-26,2025-07-14,12.0,0.13884440064430237
5120A0UFF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-08-03,2024-07-18,16.0,0.14584271609783173
69Q0A004F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-03-06,2024-03-02,4.0,0.2195236086845398
70B0A019F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-07-28,2025-07-01,27.0,0.1304134875535965
70M0A03RF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-05-10,2025-04-14,26.0,0.13943025469779968
88Q0A00CF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-11-15,2025-11-09,6.0,0.14545488357543945
88Q0A0AXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-11-21,2025-11-07,14.0,0.13279785215854645
88Q0A0MWF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-05-11,2024-05-06,5.0,0.16692271828651428
X820A002F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-05-22,2025-04-30,22.0,0.16999100148677826
X880A0BXF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2023-06-25,2023-06-16,9.0,0.18613579869270325
X880A0E4F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-01-17,2025-01-09,8.0,0.13462431728839874
X8D0A02XF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2025-02-28,2025-02-04,24.0,0.22115468978881836
X8D0A063F97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2024-07-20,2024-06-29,21.0,0.141977459192276
X8E0A00MF97G,TOSHIBA_20MG07ACA14TA,Toshiba (20MG07ACA14TA),GRU,0.13,2022-04-25,2022-04-11,14.0,0.17907072603702545
